time,vehicle_id,event,lane,signal_state,priority,result,speed,position_x,position_y
0.0,passenger_1,SPAWN,ns_north_1_0,green,normal,entered_network,0.0,500.0,0.0
0.5,passenger_1,ACCELERATE,ns_north_1_0,green,normal,speed_increase,5.2,500.0,2.6
10.2,passenger_2,SPAWN,ew_west_1_0,green,normal,entered_network,0.0,0.0,500.0
15.8,passenger_1,APPROACHING_JUNCTION,ns_north_1_0,green,normal,maintaining_speed,15.5,500.0,155.0
20.1,passenger_2,LANE_CHANGE,ew_west_1_1,green,normal,changed_lane,12.3,123.0,500.0
25.3,bus_1,SPAWN,ns_north_1_1,green,normal,entered_network,0.0,500.0,0.0
42.7,passenger_1,CROSS_JUNCTION,junction_1,green,normal,crossed_successfully,18.2,500.0,500.0
55.9,passenger_2,WAITING,ew_west_1_1,red,normal,stopped_at_signal,0.0,450.0,500.0
78.4,truck_1,SPAWN,ew_2_east_0,green,normal,entered_network,0.0,2000.0,500.0
101.2,ambulance_1,SPAWN,ns_north_1_2,green,emergency,entered_network,0.0,500.0,0.0
101.5,ambulance_1,PRIORITY_ACTIVATED,ns_north_1_2,green,emergency,broadcasting_priority,15.0,500.0,7.5
105.8,passenger_3,HALT,ew_west_1_0,green,normal,stopped_for_emergency,0.0,350.0,500.0
108.2,passenger_4,HALT,ns_1_3_0,green,normal,stopped_for_emergency,0.0,500.0,550.0
110.5,ambulance_1,GREEN_WAVE,junction_1,green,emergency,signal_adapted,25.5,500.0,255.0
115.7,ambulance_1,CROSS_JUNCTION,junction_1,green,emergency,priority_crossing,28.3,500.0,500.0
121.3,passenger_3,RESUME,ew_west_1_0,red,normal,resuming_after_emergency,0.0,350.0,500.0
121.7,car45,LANE_CHANGE,ns_1_3_2,green,normal,changed_lane,16.8,503.2,750.0
130.2,ambulance_1,CROSS_JUNCTION,junction_3,green,emergency,priority_crossing,30.1,500.0,1500.0
145.9,ambulance_1,EXIT,ns_3_south_2,green,emergency,left_network,27.8,500.0,2000.0
150.3,bicycle_1,SPAWN,ns_north_1_0,green,normal,entered_network,0.0,496.8,0.0
167.4,rickshaw_1,SPAWN,ew_west_1_0,green,normal,entered_network,0.0,0.0,496.8
180.5,passenger_5,CONGESTION_DETECTED,ns_1_3_1,yellow,normal,slowing_down,8.3,500.0,900.0
185.2,junction_1,SIGNAL_ADAPTATION,junction_1,green,system,phase_extended,0.0,500.0,500.0
190.8,passenger_5,RESUME_NORMAL,ns_1_3_1,green,normal,speed_increase,14.2,500.0,950.0
205.6,bus_1,APPROACHING_JUNCTION,ns_north_1_1,red,normal,decelerating,5.1,500.0,480.0
220.3,bus_1,WAITING,ns_north_1_1,red,normal,stopped_at_signal,0.0,500.0,495.0
242.5,bus_1,SIGNAL_GREEN,ns_north_1_1,green,normal,accelerating,0.0,500.0,495.0
250.1,bus_1,CROSS_JUNCTION,junction_1,green,normal,crossed_successfully,12.5,500.0,550.0
300.7,ambulance_2,SPAWN,ew_west_1_1,green,emergency,entered_network,0.0,0.0,500.0
301.2,ambulance_2,PRIORITY_ACTIVATED,ew_west_1_1,green,emergency,broadcasting_priority,18.5,9.25,500.0
305.5,passenger_6,V2V_MESSAGE,ew_west_1_0,green,normal,received_brake_warning,15.2,185.0,500.0
310.8,passenger_6,BRAKE,ew_west_1_0,green,normal,emergency_braking,8.7,195.0,500.0
315.3,ambulance_2,GREEN_WAVE,junction_1,green,emergency,signal_adapted,26.8,268.0,500.0
320.1,ambulance_2,CROSS_JUNCTION,junction_1,green,emergency,priority_crossing,29.5,500.0,500.0
350.4,truck_1,LANE_CHANGE,ew_1_2_1,green,normal,changed_lane,18.2,1200.0,500.0
380.9,bicycle_1,APPROACHING_JUNCTION,ns_north_1_0,yellow,normal,maintaining_speed,7.8,496.8,390.0
395.2,bicycle_1,WAITING,ns_north_1_0,red,normal,stopped_at_signal,0.0,496.8,495.0
420.6,bicycle_1,SIGNAL_GREEN,ns_north_1_0,green,normal,accelerating,0.0,496.8,495.0
435.8,bicycle_1,CROSS_JUNCTION,junction_1,green,normal,crossed_successfully,8.1,496.8,540.0
500.0,passenger_1,EXIT,ns_3_south_0,green,normal,left_network,20.3,496.8,2000.0
550.3,rickshaw_1,V2I_MESSAGE,ew_west_1_0,green,normal,received_spat,13.2,450.0,496.8
555.7,rickshaw_1,SPEED_OPTIMIZATION,ew_west_1_0,green,normal,adjusted_for_green,14.5,457.5,496.8
600.1,passenger_7,SPAWN,ns_3_south_2,green,normal,entered_network,0.0,503.2,2000.0
650.8,passenger_8,CONGESTION_DETECTED,ew_1_2_0,red,normal,queue_forming,2.1,750.0,496.8
655.3,junction_2,SIGNAL_ADAPTATION,junction_2,green,system,phase_extended,0.0,1500.0,500.0
700.2,passenger_8,RESUME_NORMAL,ew_1_2_0,green,normal,queue_clearing,16.7,800.0,496.8
750.5,ambulance_3,SPAWN,ns_north_1_1,green,emergency,entered_network,0.0,500.0,0.0
751.0,ambulance_3,PRIORITY_ACTIVATED,ns_north_1_1,green,emergency,broadcasting_priority,16.2,500.0,8.1
755.8,passenger_9,HALT,ns_north_1_0,green,normal,stopped_for_emergency,0.0,496.8,350.0
760.2,ambulance_3,GREEN_WAVE,junction_1,green,emergency,signal_adapted,27.1,500.0,270.0
